geo,time,forvarvsfrekvens_kvinnor
8043,2005,"56,6"
8043,2006,"62,7"
8043,2007,"60,3"
8043,2008,"58,8"
8043,2009,"60,6"
8043,2010,"68,3"
8043,2011,"62,1"
8043,2012,"67,2"
8043,2013,"62,1"
8043,2014,"67,9"
8043,2015,"65,1"
8043,2016,"67,2"
8044,2000,"92,4"
8044,2001,"92,4"
8044,2002,"95,1"
8044,2003,"90,9"
8044,2004,"87,9"
8044,2005,"91,3"
8044,2006,"87,2"
8044,2007,88
8044,2008,"89,9"
8044,2009,92
8044,2010,88
8044,2011,"87,2"
8044,2012,"82,6"
8044,2013,"82,4"
8044,2014,"85,7"
8044,2015,"81,6"
8044,2016,"82,2"
8045,2000,"73,2"
8045,2001,"73,2"
8045,2002,"76,3"
8045,2003,"80,7"
8045,2004,"71,9"
8045,2005,"69,6"
8045,2006,"78,9"
8045,2007,"72,7"
8045,2008,"79,4"
8045,2009,"73,3"
8045,2010,"68,3"
8045,2011,"68,3"
8045,2012,"63,1"
8045,2013,73
8045,2014,"73,2"
8045,2015,"70,7"
8045,2016,"75,3"
8057,2000,83
8057,2001,83
8057,2002,"87,1"
8057,2003,"83,5"
8057,2004,"82,7"
8057,2005,82
8057,2006,"86,1"
8057,2007,"85,8"
8057,2008,86
8057,2009,"83,6"
8057,2010,"78,5"
8057,2011,"79,2"
8057,2012,"82,9"
8057,2013,"79,8"
8057,2014,"84,3"
8057,2015,86
8057,2016,"85,9"
8061,2000,"85,4"
8061,2001,"85,4"
8061,2002,"85,9"
8061,2003,"86,6"
8061,2004,"86,9"
8061,2005,"86,4"
8061,2006,"88,5"
8061,2007,"89,5"
8061,2008,"88,7"
8061,2009,"88,3"
8061,2010,"87,8"
8061,2011,"89,4"
8061,2012,"89,8"
8061,2013,"88,7"
8061,2014,"87,7"
8061,2015,"88,2"
8061,2016,"87,6"
8062,2000,"87,1"
8062,2001,"87,1"
8062,2002,"83,8"
8062,2003,"82,1"
8062,2004,"84,8"
8062,2005,85
8062,2006,"87,4"
8062,2007,"89,8"
8062,2008,"87,2"
8062,2009,"85,1"
8062,2010,"86,4"
8062,2011,"84,3"
8062,2012,"88,3"
8062,2013,"89,3"
8062,2014,89
8062,2015,90
8062,2016,"91,5"
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,"92,3"
8063,2009,"91,4"
8063,2010,"91,7"
8063,2011,"92,9"
8063,2012,"93,9"
8063,2013,"92,5"
8063,2014,"94,8"
8063,2015,"95,7"
8063,2016,"95,7"
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,50
8064,2016,75
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8066,2000,"63,6"
8066,2001,"63,6"
8066,2002,"66,3"
8066,2003,"65,6"
8066,2004,"63,9"
8066,2005,"70,6"
8066,2006,"71,8"
8066,2007,"66,2"
8066,2008,"61,9"
8066,2009,"58,7"
8066,2010,"63,9"
8066,2011,"57,2"
8066,2012,"54,8"
8066,2013,52
8066,2014,"57,1"
8066,2015,"61,6"
8066,2016,"58,8"
8067,2000,"84,1"
8067,2001,"84,1"
8067,2002,"84,1"
8067,2003,"82,9"
8067,2004,"86,7"
8067,2005,"86,5"
8067,2006,"89,7"
8067,2007,"88,3"
8067,2008,"88,2"
8067,2009,"85,8"
8067,2010,"86,1"
8067,2011,"87,9"
8067,2012,"86,7"
8067,2013,"85,1"
8067,2014,"87,3"
8067,2015,"89,4"
8067,2016,"89,1"
8068,2000,"79,7"
8068,2001,"79,7"
8068,2002,83
8068,2003,"83,7"
8068,2004,"82,3"
8068,2005,"81,2"
8068,2006,"81,1"
8068,2007,"83,4"
8068,2008,"86,1"
8068,2009,"83,2"
8068,2010,"82,4"
8068,2011,"85,9"
8068,2012,"88,4"
8068,2013,"85,5"
8068,2014,"86,7"
8068,2015,"83,2"
8068,2016,86
8069,2000,"86,7"
8069,2001,"86,7"
8069,2002,"86,1"
8069,2003,"86,1"
8069,2004,"84,8"
8069,2005,"90,9"
8069,2006,"90,5"
8069,2007,"91,1"
8069,2008,87
8069,2009,"89,6"
8069,2010,"87,2"
8069,2011,"89,4"
8069,2012,"93,2"
8069,2013,"93,3"
8069,2014,"85,1"
8069,2015,"86,7"
8069,2016,87
8071,2000,"76,2"
8071,2001,"76,2"
8071,2002,"77,5"
8071,2003,"75,7"
8071,2004,"71,6"
8071,2005,"72,5"
8071,2006,"76,9"
8071,2007,"77,7"
8071,2008,"75,5"
8071,2009,"79,2"
8071,2010,"78,6"
8071,2011,"78,2"
8071,2012,"76,9"
8071,2013,"78,3"
8071,2014,"77,4"
8071,2015,"79,3"
8071,2016,"84,1"
8072,2000,"72,5"
8072,2001,"72,5"
8072,2002,"73,6"
8072,2003,"74,7"
8072,2004,"71,8"
8072,2005,"66,7"
8072,2006,"77,3"
8072,2007,"79,7"
8072,2008,"82,5"
8072,2009,80
8072,2010,80
8072,2011,80
8072,2012,"79,3"
8072,2013,"82,4"
8072,2014,"86,5"
8072,2015,"75,4"
8072,2016,86
8073,2000,65
8073,2001,65
8073,2002,"64,3"
8073,2003,"65,9"
8073,2004,"67,6"
8073,2005,"68,4"
8073,2006,"66,3"
8073,2007,"66,3"
8073,2008,"64,4"
8073,2009,"61,1"
8073,2010,"61,2"
8073,2011,"59,4"
8073,2012,"61,6"
8073,2013,"62,9"
8073,2014,59
8073,2015,"57,2"
8073,2016,62
8074,2000,"82,6"
8074,2001,"82,6"
8074,2002,"81,7"
8074,2003,"83,3"
8074,2004,84
8074,2005,"84,4"
8074,2006,"86,7"
8074,2007,"91,3"
8074,2008,"90,1"
8074,2009,"87,3"
8074,2010,"87,2"
8074,2011,"86,6"
8074,2012,"82,5"
8074,2013,"81,2"
8074,2014,"91,6"
8074,2015,"91,2"
8074,2016,88
8075,2000,"77,8"
8075,2001,"77,8"
8075,2002,"78,9"
8075,2003,"83,3"
8075,2004,"85,7"
8075,2005,"83,8"
8075,2006,"86,3"
8075,2007,90
8075,2008,"88,3"
8075,2009,"90,1"
8075,2010,88
8075,2011,"91,8"
8075,2012,"96,7"
8075,2013,"95,3"
8075,2014,"96,5"
8075,2015,"90,1"
8075,2016,"89,8"
8076,2000,"80,9"
8076,2001,"80,9"
8076,2002,"81,8"
8076,2003,"83,1"
8076,2004,"85,2"
8076,2005,"84,1"
8076,2006,"79,2"
8076,2007,"82,7"
