geo,time,nettoflytt_utb
8072,2012,3
8072,2013,-2
8072,2014,-2
8072,2015,1
8072,2016,1
8072,2017,--
8073,2000,1
8073,2001,-5
8073,2002,3
8073,2003,5
8073,2004,-4
8073,2005,5
8073,2006,3
8073,2007,9
8073,2008,-8
8073,2009,-1
8073,2010,0
8073,2011,-2
8073,2012,0
8073,2013,5
8073,2014,-10
8073,2015,-7
8073,2016,2
8073,2017,--
8074,2000,-1
8074,2001,3
8074,2002,1
8074,2003,-2
8074,2004,6
8074,2005,7
8074,2006,2
8074,2007,6
8074,2008,2
8074,2009,4
8074,2010,5
8074,2011,3
8074,2012,1
8074,2013,1
8074,2014,-2
8074,2015,2
8074,2016,0
8074,2017,--
8075,2000,3
8075,2001,1
8075,2002,2
8075,2003,7
8075,2004,-4
8075,2005,0
8075,2006,2
8075,2007,5
8075,2008,3
8075,2009,5
8075,2010,-1
8075,2011,0
8075,2012,-1
8075,2013,-1
8075,2014,4
8075,2015,1
8075,2016,-1
8075,2017,--
8076,2000,0
8076,2001,0
8076,2002,4
8076,2003,5
8076,2004,0
8076,2005,-4
8076,2006,-2
8076,2007,1
8076,2008,3
8076,2009,7
8076,2010,-3
8076,2011,1
8076,2012,-2
8076,2013,4
8076,2014,-2
8076,2015,1
8076,2016,1
8076,2017,--
808,2000,-1
808,2001,2
808,2002,-1
808,2003,1
808,2004,5
808,2005,1
808,2006,0
808,2007,0
808,2008,-1
808,2009,1
808,2010,4
808,2011,0
808,2012,-1
808,2013,-2
808,2014,4
808,2015,-1
808,2016,3
808,2017,--
11,2000,6
11,2001,10
11,2002,1
11,2003,7
11,2004,-2
11,2005,-1
11,2006,0
11,2007,7
11,2008,3
11,2009,-2
11,2010,-3
11,2011,6
11,2012,1
11,2013,5
11,2014,-2
11,2015,-5
11,2016,1
11,2017,--
12,2000,6
12,2001,4
12,2002,-1
12,2003,4
12,2004,7
12,2005,1
12,2006,-8
12,2007,21
12,2008,4
12,2009,2
12,2010,17
12,2011,11
12,2012,5
12,2013,1
12,2014,6
12,2015,9
12,2016,4
12,2017,--
13,2000,1
13,2001,0
13,2002,5
13,2003,6
13,2004,8
13,2005,2
13,2006,0
13,2007,5
13,2008,5
13,2009,-1
13,2010,-6
13,2011,6
13,2012,-1
13,2013,-3
13,2014,9
13,2015,6
13,2016,9
13,2017,--
14,2000,10
14,2001,4
14,2002,2
14,2003,9
14,2004,10
14,2005,-1
14,2006,-5
14,2007,3
14,2008,7
14,2009,2
14,2010,10
14,2011,9
14,2012,14
14,2013,7
14,2014,4
14,2015,7
14,2016,7
14,2017,--
15,2000,6
15,2001,1
15,2002,2
15,2003,14
15,2004,1
15,2005,13
15,2006,5
15,2007,17
15,2008,15
15,2009,9
15,2010,6
15,2011,9
15,2012,18
15,2013,8
15,2014,6
15,2015,12
15,2016,27
15,2017,--
61,2000,0
61,2001,5
61,2002,-1
61,2003,0
61,2004,10
61,2005,-4
61,2006,10
61,2007,-3
61,2008,7
61,2009,-2
61,2010,1
61,2011,2
61,2012,1
61,2013,2
61,2014,9
61,2015,3
61,2016,3
61,2017,--
62,2000,4
62,2001,3
62,2002,0
62,2003,2
62,2004,0
62,2005,8
62,2006,-2
62,2007,3
62,2008,-2
62,2009,6
62,2010,2
62,2011,1
62,2012,-2
62,2013,-1
62,2014,-4
62,2015,5
62,2016,-3
62,2017,--
63,2000,3
63,2001,-5
63,2002,6
63,2003,-1
63,2004,0
63,2005,-1
63,2006,2
63,2007,6
63,2008,-3
63,2009,3
63,2010,7
63,2011,4
63,2012,0
63,2013,0
63,2014,2
63,2015,9
63,2016,7
63,2017,--
81,2000,4
81,2001,6
81,2002,-2
81,2003,1
81,2004,4
81,2005,1
81,2006,4
81,2007,8
81,2008,2
81,2009,-3
81,2010,3
81,2011,1
81,2012,9
81,2013,7
81,2014,0
81,2015,0
81,2016,9
81,2017,--
82,2000,5
82,2001,7
82,2002,8
82,2003,5
82,2004,6
82,2005,-3
82,2006,6
82,2007,6
82,2008,-2
82,2009,-1
82,2010,7
82,2011,1
82,2012,7
82,2013,-2
82,2014,1
82,2015,1
82,2016,8
82,2017,--
83,2000,2
83,2001,0
83,2002,1
83,2003,-2
83,2004,0
83,2005,3
83,2006,0
83,2007,1
83,2008,-3
83,2009,2
83,2010,1
83,2011,0
83,2012,0
83,2013,1
83,2014,2
83,2015,3
83,2016,0
83,2017,--
2,2000,3
2,2001,6
2,2002,9
2,2003,3
2,2004,3
2,2005,4
2,2006,0
2,2007,10
2,2008,0
2,2009,4
2,2010,4
2,2011,0
2,2012,17
2,2013,-1
2,2014,4
2,2015,4
2,2016,12
2,2017,--
5,2000,-1
5,2001,4
5,2002,6
5,2003,4
5,2004,-1
5,2005,4
5,2006,0
5,2007,21
5,2008,10
5,2009,18
5,2010,-7
5,2011,2
5,2012,16
5,2013,3
5,2014,-1
5,2015,1
5,2016,9
5,2017,--
7,2000,12
7,2001,34
7,2002,29
7,2003,45
7,2004,38
7,2005,39
7,2006,45
7,2007,35
7,2008,26
7,2009,27
7,2010,15
7,2011,52
7,2012,1
7,2013,13
7,2014,27
7,2015,33
7,2016,-3
7,2017,--
