geo,time,inrikes_fodda_man
8075,2017,156
8076,2000,153
8076,2001,153
8076,2002,153
8076,2003,150
8076,2004,147
8076,2005,149
8076,2006,157
8076,2007,152
8076,2008,150
8076,2009,157
8076,2010,154
8076,2011,153
8076,2012,151
8076,2013,151
8076,2014,146
8076,2015,152
8076,2016,152
8076,2017,152
808,2000,94
808,2001,94
808,2002,94
808,2003,98
808,2004,100
808,2005,98
808,2006,100
808,2007,97
808,2008,100
808,2009,99
808,2010,104
808,2011,106
808,2012,104
808,2013,102
808,2014,103
808,2015,104
808,2016,105
808,2017,103
11,2000,767
11,2001,767
11,2002,767
11,2003,754
11,2004,758
11,2005,747
11,2006,742
11,2007,732
11,2008,719
11,2009,723
11,2010,717
11,2011,710
11,2012,698
11,2013,682
11,2014,705
11,2015,705
11,2016,700
11,2017,703
12,2000,1794
12,2001,1794
12,2002,1794
12,2003,1796
12,2004,1772
12,2005,1756
12,2006,1729
12,2007,1730
12,2008,1725
12,2009,1723
12,2010,1710
12,2011,1694
12,2012,1722
12,2013,1726
12,2014,1726
12,2015,1731
12,2016,1698
12,2017,1704
13,2000,836
13,2001,836
13,2002,836
13,2003,832
13,2004,833
13,2005,841
13,2006,833
13,2007,838
13,2008,815
13,2009,798
13,2010,781
13,2011,764
13,2012,742
13,2013,728
13,2014,747
13,2015,738
13,2016,735
13,2017,743
14,2000,835
14,2001,835
14,2002,835
14,2003,839
14,2004,851
14,2005,846
14,2006,818
14,2007,816
14,2008,809
14,2009,812
14,2010,809
14,2011,802
14,2012,800
14,2013,802
14,2014,799
14,2015,798
14,2016,789
14,2017,792
15,2000,1095
15,2001,1095
15,2002,1095
15,2003,1123
15,2004,1128
15,2005,1149
15,2006,1140
15,2007,1145
15,2008,1160
15,2009,1158
15,2010,1182
15,2011,1175
15,2012,1178
15,2013,1165
15,2014,1185
15,2015,1222
15,2016,1253
15,2017,1301
61,2000,1135
61,2001,1135
61,2002,1135
61,2003,1121
61,2004,1134
61,2005,1113
61,2006,1110
61,2007,1098
61,2008,1100
61,2009,1088
61,2010,1088
61,2011,1099
61,2012,1088
61,2013,1075
61,2014,1063
61,2015,1071
61,2016,1068
61,2017,1059
62,2000,539
62,2001,539
62,2002,539
62,2003,543
62,2004,524
62,2005,515
62,2006,505
62,2007,494
62,2008,487
62,2009,489
62,2010,480
62,2011,471
62,2012,475
62,2013,476
62,2014,460
62,2015,468
62,2016,474
62,2017,492
63,2000,634
63,2001,634
63,2002,634
63,2003,633
63,2004,626
63,2005,618
63,2006,621
63,2007,609
63,2008,593
63,2009,571
63,2010,584
63,2011,587
63,2012,599
63,2013,603
63,2014,604
63,2015,607
63,2016,598
63,2017,599
81,2000,230
81,2001,230
81,2002,230
81,2003,230
81,2004,223
81,2005,215
81,2006,215
81,2007,216
81,2008,220
81,2009,217
81,2010,220
81,2011,213
81,2012,220
81,2013,231
81,2014,230
81,2015,238
81,2016,247
81,2017,255
82,2000,747
82,2001,747
82,2002,747
82,2003,772
82,2004,766
82,2005,779
82,2006,796
82,2007,804
82,2008,805
