geo,time,nettoflytt_arb
8061,2017,0
8062,2000,-6
8062,2001,12
8062,2002,-15
8062,2003,1
8062,2004,18
8062,2005,-4
8062,2006,-10
8062,2007,-16
8062,2008,-1
8062,2009,-3
8062,2010,-5
8062,2011,5
8062,2012,-7
8062,2013,-8
8062,2014,-5
8062,2015,-3
8062,2016,-9
8062,2017,0
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,-1
8063,2006,0
8063,2007,0
8063,2008,76
8063,2009,37
8063,2010,26
8063,2011,22
8063,2012,30
8063,2013,12
8063,2014,11
8063,2015,3
8063,2016,1
8063,2017,0
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,8
8064,2016,15
8064,2017,0
8065,2000,0
8065,2001,0
8065,2002,1
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,1
8065,2009,0
8065,2010,0
8065,2011,-1
8065,2012,-1
8065,2013,1
8065,2014,-1
8065,2015,2
8065,2016,-1
8065,2017,0
8066,2000,-4
8066,2001,-9
8066,2002,1
8066,2003,0
8066,2004,-1
8066,2005,-17
8066,2006,9
8066,2007,-10
8066,2008,-25
8066,2009,-2
8066,2010,4
8066,2011,-7
8066,2012,7
8066,2013,-12
8066,2014,-6
8066,2015,-2
8066,2016,-6
8066,2017,0
8067,2000,-8
8067,2001,-3
8067,2002,-4
8067,2003,-7
8067,2004,1
8067,2005,-10
8067,2006,-4
8067,2007,0
8067,2008,4
8067,2009,-5
8067,2010,1
8067,2011,0
8067,2012,-7
8067,2013,9
8067,2014,2
8067,2015,1
8067,2016,-2
8067,2017,0
8068,2000,1
8068,2001,1
8068,2002,26
8068,2003,-3
8068,2004,-11
8068,2005,-5
8068,2006,1
8068,2007,0
8068,2008,-3
8068,2009,4
8068,2010,-9
8068,2011,14
8068,2012,-6
8068,2013,-10
8068,2014,-8
8068,2015,12
8068,2016,2
8068,2017,0
8069,2000,-6
8069,2001,-1
8069,2002,-2
8069,2003,0
8069,2004,3
8069,2005,0
8069,2006,-6
8069,2007,3
8069,2008,-1
8069,2009,0
8069,2010,0
8069,2011,1
8069,2012,-2
8069,2013,1
8069,2014,1
8069,2015,-2
8069,2016,0
8069,2017,0
8071,2000,2
8071,2001,-2
8071,2002,-3
8071,2003,0
8071,2004,4
8071,2005,-4
8071,2006,5
8071,2007,4
8071,2008,-4
8071,2009,-3
8071,2010,5
8071,2011,-4
8071,2012,4
8071,2013,2
8071,2014,4
8071,2015,13
8071,2016,1
8071,2017,0
8072,2000,-1
8072,2001,-1
8072,2002,-1
8072,2003,0
8072,2004,-2
8072,2005,-3
8072,2006,5
8072,2007,2
8072,2008,4
8072,2009,0
8072,2010,3
8072,2011,-5
8072,2012,4
8072,2013,-1
8072,2014,-4
8072,2015,7
8072,2016,-4
8072,2017,0
8073,2000,-20
8073,2001,5
8073,2002,-6
8073,2003,-3
8073,2004,-4
8073,2005,-16
8073,2006,-22
8073,2007,-3
8073,2008,-10
8073,2009,2
8073,2010,-6
8073,2011,-14
8073,2012,-5
8073,2013,2
8073,2014,-16
8073,2015,-16
8073,2016,1
8073,2017,0
8074,2000,-2
8074,2001,1
8074,2002,-2
8074,2003,1
