geo,time,utbildningsniva_andel_totalt
8069,2011,32.3
8069,2012,34.8
8069,2013,34.4
8069,2014,32.3
8069,2015,30.2
8069,2016,29.2
8069,2017,32.3
8071,2000,17.6
8071,2001,17.6
8071,2002,17.6
8071,2003,17.6
8071,2004,17.6
8071,2005,19.8
8071,2006,21.1
8071,2007,21.3
8071,2008,21
8071,2009,24
8071,2010,25.6
8071,2011,26.6
8071,2012,28.8
8071,2013,30.8
8071,2014,29.2
8071,2015,29.9
8071,2016,29
8071,2017,28.6
8072,2000,21.8
8072,2001,21.8
8072,2002,21.8
8072,2003,21.8
8072,2004,21.8
8072,2005,21.1
8072,2006,20.3
8072,2007,22.4
8072,2008,26
8072,2009,26
8072,2010,28.8
8072,2011,28.7
8072,2012,32.2
8072,2013,31
8072,2014,31.3
8072,2015,29.6
8072,2016,32.1
8072,2017,27.2
8073,2000,10.9
8073,2001,10.9
8073,2002,10.9
8073,2003,10.9
8073,2004,10.9
8073,2005,12.4
8073,2006,13.7
8073,2007,16
8073,2008,15.4
8073,2009,15.9
8073,2010,16.2
8073,2011,16.2
8073,2012,15.7
8073,2013,17.7
8073,2014,15.8
8073,2015,14.4
8073,2016,14.8
8073,2017,15.9
8074,2000,23.9
8074,2001,23.9
8074,2002,23.9
8074,2003,23.9
8074,2004,23.9
8074,2005,26.4
8074,2006,25.2
8074,2007,28.4
8074,2008,31
8074,2009,32.1
8074,2010,33.8
8074,2011,34.1
8074,2012,34.8
8074,2013,35.6
8074,2014,37.1
8074,2015,34.8
8074,2016,35.6
8074,2017,38.6
8075,2000,14.1
8075,2001,14.1
8075,2002,14.1
8075,2003,14.1
8075,2004,14.1
8075,2005,15.9
8075,2006,16
8075,2007,18.7
8075,2008,18.1
8075,2009,20.4
8075,2010,19.8
8075,2011,20.9
8075,2012,21.7
8075,2013,22.3
8075,2014,25.4
8075,2015,25.4
8075,2016,23.7
8075,2017,27.8
8076,2000,27.2
8076,2001,27.2
8076,2002,27.2
8076,2003,27.2
8076,2004,27.2
8076,2005,23.9
8076,2006,23.1
8076,2007,24.4
8076,2008,26.8
8076,2009,30.8
8076,2010,28.6
8076,2011,27.3
8076,2012,29
8076,2013,31.3
8076,2014,31
8076,2015,30
8076,2016,31
8076,2017,29.9
808,2000,20.7
808,2001,20.7
808,2002,20.7
808,2003,20.7
808,2004,20.7
808,2005,22.7
808,2006,23
808,2007,22.7
808,2008,21.7
808,2009,20.4
808,2010,23.9
808,2011,22.5
808,2012,22.2
808,2013,21.2
808,2014,24.3
808,2015,24.3
808,2016,27
808,2017,31.3
11,2000,9.5
11,2001,9.5
11,2002,9.5
11,2003,9.5
11,2004,9.5
11,2005,9.6
11,2006,10
11,2007,10.6
11,2008,10.4
11,2009,10.7
11,2010,11.2
11,2011,12.9
11,2012,13.3
11,2013,13.5
11,2014,14.1
11,2015,13.8
11,2016,13.9
11,2017,14.7
12,2000,9.2
12,2001,9.2
12,2002,9.2
12,2003,9.2
12,2004,9.2
12,2005,9.6
12,2006,10.3
12,2007,11.4
12,2008,11.8
12,2009,11.9
12,2010,12.7
12,2011,13.5
12,2012,14.3
12,2013,14.6
12,2014,15.4
12,2015,16.1
12,2016,16.4
12,2017,16.4
13,2000,11.9
13,2001,11.9
13,2002,11.9
13,2003,11.9
13,2004,11.9
13,2005,12.7
13,2006,12.9
13,2007,13.8
13,2008,14.6
13,2009,14.8
13,2010,13.6
13,2011,14.6
13,2012,15.5
13,2013,15
13,2014,15.5
13,2015,16.9
13,2016,18.5
13,2017,18.6
14,2000,13
14,2001,13
14,2002,13
14,2003,13
14,2004,13
14,2005,13.7
14,2006,14.3
14,2007,14.4
14,2008,15.4
14,2009,15.8
14,2010,17.1
14,2011,17.4
14,2012,18.7
14,2013,18.8
14,2014,19.2
14,2015,19.7
14,2016,20.2
14,2017,21.5
15,2000,12
15,2001,12
15,2002,12
15,2003,12
15,2004,12
15,2005,13
15,2006,13.2
15,2007,14.4
15,2008,15.9
15,2009,16.6
15,2010,17.4
15,2011,18.5
15,2012,20.3
15,2013,21.1
15,2014,22
15,2015,22.2
15,2016,23.6
15,2017,25
61,2000,9.8
61,2001,9.8
61,2002,9.8
61,2003,9.8
61,2004,9.8
61,2005,9.8
61,2006,10.4
61,2007,10.9
61,2008,11.2
61,2009,11.3
61,2010,11.7
61,2011,11.8
61,2012,12
61,2013,12.2
61,2014,11.9
61,2015,12.8
61,2016,13.4
61,2017,13.3
62,2000,7.2
62,2001,7.2
62,2002,7.2
62,2003,7.2
62,2004,7.2
62,2005,9
62,2006,8.5
62,2007,9.3
62,2008,9.2
62,2009,9.9
62,2010,9.8
62,2011,10.2
62,2012,10.1
62,2013,10.6
62,2014,11.4
62,2015,12.2
62,2016,10.3
62,2017,12.2
63,2000,9.9
63,2001,9.9
63,2002,9.9
63,2003,9.9
63,2004,9.9
63,2005,10.4
63,2006,10.9
63,2007,12.4
63,2008,12.6
63,2009,13.5
63,2010,14.8
63,2011,14.7
63,2012,14.8
63,2013,14.9
63,2014,14.2
63,2015,15.4
63,2016,16.3
63,2017,16.6
81,2000,21
81,2001,21
81,2002,21
81,2003,21
81,2004,21
81,2005,21.5
81,2006,22.4
81,2007,23.9
81,2008,24.8
81,2009,24.5
81,2010,24.5
81,2011,26.5
81,2012,25.4
81,2013,28
81,2014,27.9
81,2015,26.4
81,2016,28
81,2017,30.1
82,2000,13.1
82,2001,13.1
82,2002,13.1
82,2003,13.1
82,2004,13.1
82,2005,13.4
82,2006,14
82,2007,14.8
82,2008,14.5
82,2009,14.7
82,2010,15.5
82,2011,16
82,2012,17.2
82,2013,17.2
82,2014,17.9
82,2015,17.8
82,2016,18.6
82,2017,18.9
83,2000,7.9
83,2001,7.9
83,2002,7.9
83,2003,7.9
83,2004,7.9
83,2005,9.4
83,2006,10.2
83,2007,11.3
83,2008,10.7
83,2009,10.6
83,2010,11.2
83,2011,13.6
83,2012,13.3
83,2013,14.3
83,2014,14
83,2015,16.7
83,2016,15.8
83,2017,15.9
2,2000,11.6
2,2001,11.6
2,2002,11.6
2,2003,11.6
2,2004,11.6
2,2005,12.2
2,2006,12.8
2,2007,13.5
2,2008,14.2
2,2009,14.8
2,2010,15.3
2,2011,15.6
2,2012,17.6
2,2013,31
2,2014,18.2
2,2015,18.5
2,2016,20.4
2,2017,19.9
5,2000,14.1
5,2001,14.1
5,2002,14.1
5,2003,14.1
5,2004,14.1
5,2005,15.1
5,2006,15.2
5,2007,16.7
5,2008,17.2
5,2009,17.8
5,2010,17.7
5,2011,17.7
5,2012,18.4
5,2013,18.8
5,2014,19.2
5,2015,19.3
