geo,time,medelinkomst_20_64_ar_kvinnor
61,2004,184 083
61,2005,188 983
61,2006,199 030
61,2007,206 213
61,2008,215 235
61,2009,217 573
61,2010,223 965
61,2011,227 540
61,2012,235 061
61,2013,240 829
61,2014,251 377
61,2015,257 962
61,2016,265 487
61,2017,276 524
62,2000,142 144
62,2001,151 884
62,2002,162 783
62,2003,163 748
62,2004,169 760
62,2005,173 302
62,2006,180 189
62,2007,192 867
62,2008,200 654
62,2009,206 222
62,2010,205 898
62,2011,202 229
62,2012,206 524
62,2013,216 286
62,2014,219 895
62,2015,227 017
62,2016,235 673
62,2017,237 251
63,2000,146 842
63,2001,155 411
63,2002,162 362
63,2003,168 837
63,2004,172 728
63,2005,178 890
63,2006,185 986
63,2007,196 707
63,2008,205 869
63,2009,208 805
63,2010,208 507
63,2011,209 815
63,2012,216 868
63,2013,221 009
63,2014,232 701
63,2015,248 380
63,2016,266 198
63,2017,281 318
81,2000,162 363
81,2001,177 828
81,2002,184 596
81,2003,188 820
81,2004,206 005
81,2005,204 128
81,2006,215 010
81,2007,217 877
81,2008,227 407
81,2009,235 237
81,2010,240 676
81,2011,248 447
81,2012,259 167
81,2013,262 506
81,2014,269 413
81,2015,274 392
81,2016,283 093
81,2017,276 242
82,2000,166 586
82,2001,173 317
82,2002,179 067
82,2003,183 942
82,2004,192 111
82,2005,200 203
82,2006,204 821
82,2007,212 342
82,2008,227 064
82,2009,234 258
82,2010,234 468
82,2011,247 170
82,2012,253 671
82,2013,262 569
82,2014,269 035
82,2015,282 477
82,2016,292 077
82,2017,298 947
83,2000,129 115
83,2001,143 470
83,2002,153 986
83,2003,166 318
83,2004,172 834
83,2005,169 895
83,2006,167 775
83,2007,179 064
83,2008,188 555
83,2009,191 600
83,2010,195 996
83,2011,229 376
83,2012,221 980
83,2013,236 819
83,2014,246 219
83,2015,240 177
83,2016,251 496
83,2017,257 863
2,2000,156 058
2,2001,165 258
2,2002,172 246
2,2003,183 048
2,2004,187 693
2,2005,193 423
2,2006,200 221
2,2007,209 738
2,2008,220 958
2,2009,227 477
2,2010,230 928
2,2011,236 118
2,2012,248 241
2,2013,256 823
2,2014,265 652
2,2015,272 810
2,2016,286 618
2,2017,289 818
5,2000,167 784
5,2001,176 270
5,2002,184 418
5,2003,191 393
5,2004,194 561
5,2005,202 597
5,2006,210 212
5,2007,217 881
5,2008,226 172
5,2009,233 105
5,2010,236 819
5,2011,239 424
5,2012,248 145
5,2013,256 743
5,2014,263 853
5,2015,272 982
5,2016,282 051
5,2017,297 995
7,2000,174 837
7,2001,184 031
7,2002,194 678
7,2003,202 125
7,2004,209 379
7,2005,216 770
7,2006,222 426
7,2007,236 187
7,2008,244 313
7,2009,247 775
7,2010,254 980
7,2011,263 027
7,2012,275 339
7,2013,287 471
7,2014,299 241
7,2015,306 854
7,2016,322 812
7,2017,329 832
