geo,time,medelinkomst_20_64_ar_man
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,95460
8064,2015,303395
8064,2016,396429
8064,2017,479367
8065,2000,0
8065,2001,0
8065,2002,232960
8065,2003,59892
8065,2004,199820
8065,2005,0
8065,2006,91704
8065,2007,93144
8065,2008,180512
8065,2009,125501
8065,2010,145987
8065,2011,161634
8065,2012,0
8065,2013,216568
8065,2014,0
8065,2015,278288
8065,2016,198976
8065,2017,269699
8066,2000,179169
8066,2001,193975
8066,2002,196350
8066,2003,209412
8066,2004,207468
8066,2005,202338
8066,2006,213671
8066,2007,222126
8066,2008,235457
8066,2009,206094
8066,2010,213983
8066,2011,203375
8066,2012,201366
8066,2013,202126
8066,2014,205915
8066,2015,220977
8066,2016,229912
8066,2017,222960
8067,2000,282267
8067,2001,307216
8067,2002,308724
8067,2003,314816
8067,2004,317919
8067,2005,335995
8067,2006,346776
8067,2007,340152
8067,2008,374226
8067,2009,379378
8067,2010,385436
8067,2011,392399
8067,2012,408274
8067,2013,403739
8067,2014,394518
8067,2015,407968
8067,2016,420760
8067,2017,429252
8068,2000,280217
8068,2001,305087
8068,2002,303179
8068,2003,306246
8068,2004,314656
8068,2005,321475
8068,2006,330514
8068,2007,355644
8068,2008,359208
8068,2009,359422
8068,2010,359333
8068,2011,367498
8068,2012,394210
8068,2013,371664
8068,2014,372633
8068,2015,367025
8068,2016,392377
8068,2017,414730
8069,2000,284463
8069,2001,289191
8069,2002,318539
8069,2003,309792
8069,2004,302548
8069,2005,319398
8069,2006,353247
8069,2007,369959
8069,2008,386422
8069,2009,390154
8069,2010,381898
8069,2011,387493
8069,2012,385227
8069,2013,373404
8069,2014,400904
8069,2015,422549
8069,2016,416238
8069,2017,396261
8071,2000,296150
8071,2001,283240
8071,2002,294049
8071,2003,298532
8071,2004,303180
8071,2005,312059
8071,2006,324200
8071,2007,334063
8071,2008,345482
8071,2009,365219
8071,2010,371945
8071,2011,369970
8071,2012,391594
8071,2013,400102
8071,2014,402465
8071,2015,400379
8071,2016,402939
8071,2017,402679
8072,2000,270885
8072,2001,258097
8072,2002,257283
