geo,time,utbildningsniva_andel_man
11,2009,6.7
11,2010,6.8
11,2011,8.5
11,2012,7.7
11,2013,8
11,2014,9.4
11,2015,8.2
11,2016,8.6
11,2017,10.4
12,2000,8.6
12,2001,8.6
12,2002,8.6
12,2003,8.6
12,2004,8.6
12,2005,8.5
12,2006,8.3
12,2007,8.9
12,2008,9.2
12,2009,8.7
12,2010,8.7
12,2011,9.3
12,2012,9.6
12,2013,10
12,2014,10.2
12,2015,10.8
12,2016,11.1
12,2017,10.7
13,2000,10.2
13,2001,10.2
13,2002,10.2
13,2003,10.2
13,2004,10.2
13,2005,10.3
13,2006,10.2
13,2007,11.7
13,2008,11.1
13,2009,11.3
13,2010,10.5
13,2011,11.1
13,2012,11
13,2013,10
13,2014,10.3
13,2015,12.4
13,2016,12.8
13,2017,12.2
14,2000,11.7
14,2001,11.7
14,2002,11.7
14,2003,11.7
14,2004,11.7
14,2005,11.7
14,2006,11.5
14,2007,11.1
14,2008,12.2
14,2009,12.8
14,2010,14
14,2011,14
14,2012,14.2
14,2013,15.2
14,2014,15.3
14,2015,15
14,2016,14.8
14,2017,16.3
15,2000,11.5
15,2001,11.5
15,2002,11.5
15,2003,11.5
15,2004,11.5
15,2005,12.1
15,2006,11.7
15,2007,13.1
15,2008,13.6
15,2009,13.4
15,2010,13.4
15,2011,13.5
15,2012,14.6
15,2013,14.4
15,2014,14.7
15,2015,15
15,2016,16.1
15,2017,16.9
61,2000,9
61,2001,9
61,2002,9
61,2003,9
61,2004,9
61,2005,8.6
61,2006,9.7
61,2007,9.6
61,2008,9.7
61,2009,8.8
61,2010,9.4
61,2011,9.3
61,2012,9
61,2013,9
61,2014,8.2
61,2015,8
61,2016,8.4
61,2017,8.4
62,2000,7.3
62,2001,7.3
62,2002,7.3
62,2003,7.3
62,2004,7.3
62,2005,8.4
62,2006,8.1
62,2007,7.3
62,2008,8.1
62,2009,8.8
62,2010,8
62,2011,8.2
62,2012,9.1
62,2013,8.3
62,2014,9
62,2015,9.9
62,2016,8.4
62,2017,10.9
63,2000,7.9
63,2001,7.9
63,2002,7.9
63,2003,7.9
63,2004,7.9
63,2005,8.7
63,2006,8.5
63,2007,9.7
63,2008,9.9
63,2009,9.4
63,2010,10.4
63,2011,9.9
63,2012,9.6
63,2013,9
63,2014,8.4
63,2015,8.3
63,2016,8.6
63,2017,8.9
81,2000,22.8
81,2001,22.8
81,2002,22.8
81,2003,22.8
81,2004,22.8
81,2005,23.2
81,2006,25
81,2007,25.9
81,2008,26.6
81,2009,23.4
81,2010,24.2
81,2011,25.7
81,2012,24.5
81,2013,27.1
81,2014,27.6
81,2015,25.9
81,2016,25.4
81,2017,27
82,2000,11.5
82,2001,11.5
82,2002,11.5
82,2003,11.5
82,2004,11.5
82,2005,11.2
82,2006,11.7
82,2007,11.6
82,2008,11.5
82,2009,12
82,2010,12
82,2011,11.4
82,2012,12.2
82,2013,12.2
82,2014,11.6
82,2015,11.3
82,2016,11
82,2017,11.2
83,2000,6.5
83,2001,6.5
83,2002,6.5
83,2003,6.5
83,2004,6.5
83,2005,8.4
83,2006,10.1
83,2007,10.1
83,2008,9.4
83,2009,9.2
83,2010,8.2
83,2011,11.3
83,2012,9.9
83,2013,11.8
83,2014,9.7
83,2015,10.8
83,2016,10
83,2017,11
2,2000,9.7
2,2001,9.7
2,2002,9.7
2,2003,9.7
2,2004,9.7
2,2005,10.2
2,2006,10.3
2,2007,11.3
2,2008,11.3
2,2009,12.1
2,2010,11.9
2,2011,11.1
2,2012,12.6
2,2013,12.1
2,2014,11.9
2,2015,12.6
2,2016,13.8
2,2017,12.8
5,2000,11.7
5,2001,11.7
5,2002,11.7
5,2003,11.7
5,2004,11.7
5,2005,11.9
5,2006,11.7
5,2007,12.6
5,2008,13.1
5,2009,13.3
5,2010,13.2
5,2011,13
5,2012,13.1
5,2013,13.7
5,2014,13.8
5,2015,14.1
5,2016,14.3
5,2017,14.1
7,2000,20.9
7,2001,20.9
7,2002,20.9
7,2003,20.9
7,2004,20.9
7,2005,22.3
7,2006,22.9
7,2007,23.6
7,2008,24.2
7,2009,24.5
7,2010,25.2
7,2011,25.7
7,2012,25.6
7,2013,25.7
7,2014,25.9
7,2015,26
7,2016,26
7,2017,27.3
