geo,time,befolkning_total
63,2014,1199
63,2015,1208
63,2016,1222
63,2017,1213
81,2000,477
81,2001,471
81,2002,471
81,2003,472
81,2004,464
81,2005,458
81,2006,452
81,2007,458
81,2008,466
81,2009,456
81,2010,462
81,2011,455
81,2012,478
81,2013,498
81,2014,497
81,2015,524
81,2016,547
81,2017,569
82,2000,1507
82,2001,1503
82,2002,1511
82,2003,1548
82,2004,1534
82,2005,1545
82,2006,1574
82,2007,1579
82,2008,1587
82,2009,1563
82,2010,1562
82,2011,1563
82,2012,1569
82,2013,1576
82,2014,1546
82,2015,1549
82,2016,1560
82,2017,1574
83,2000,329
83,2001,328
83,2002,322
83,2003,320
83,2004,312
83,2005,323
83,2006,310
83,2007,310
83,2008,312
83,2009,314
83,2010,314
83,2011,309
83,2012,304
83,2013,293
83,2014,279
83,2015,286
83,2016,283
83,2017,277
2,2000,1601
2,2001,1608
2,2002,1598
2,2003,1606
2,2004,1635
2,2005,1653
2,2006,1641
2,2007,1674
2,2008,1665
2,2009,1641
2,2010,1641
2,2011,1629
2,2012,1643
2,2013,1620
2,2014,1628
2,2015,1611
2,2016,1622
2,2017,1650
5,2000,4942
5,2001,4964
5,2002,4933
5,2003,4947
5,2004,4919
5,2005,4948
5,2006,4971
5,2007,4979
5,2008,4991
5,2009,4996
5,2010,4969
5,2011,4977
5,2012,4982
5,2013,4986
5,2014,4991
5,2015,5030
5,2016,5078
5,2017,5073
7,2000,4205
7,2001,4254
7,2002,4315
7,2003,4395
7,2004,4495
7,2005,4623
7,2006,4835
7,2007,4869
7,2008,4963
7,2009,5011
7,2010,4992
7,2011,5055
7,2012,5051
7,2013,5087
7,2014,5144
7,2015,5199
7,2016,5200
7,2017,5294
