geo,time,utbildningsniva_andel_kvinnor
8076,2015,37.3
8076,2016,38.8
8076,2017,38.2
808,2000,19.6
808,2001,19.6
808,2002,19.6
808,2003,19.6
808,2004,19.6
808,2005,22.6
808,2006,21.8
808,2007,21.8
808,2008,21.6
808,2009,21.8
808,2010,25.9
808,2011,25
808,2012,25.4
808,2013,25
808,2014,31
808,2015,31.5
808,2016,36.4
808,2017,42.4
11,2000,13.5
11,2001,13.5
11,2002,13.5
11,2003,13.5
11,2004,13.5
11,2005,13.1
11,2006,13
11,2007,14.2
11,2008,14.4
11,2009,15.2
11,2010,16.2
11,2011,17.9
11,2012,19.8
11,2013,19.9
11,2014,19.6
11,2015,20.2
11,2016,19.5
11,2017,19.5
12,2000,9.8
12,2001,9.8
12,2002,9.8
12,2003,9.8
12,2004,9.8
12,2005,10.8
12,2006,12.3
12,2007,13.9
12,2008,14.4
12,2009,15.3
12,2010,17
12,2011,18
12,2012,19
12,2013,19.3
12,2014,20.9
12,2015,21.7
12,2016,21.9
12,2017,22.5
13,2000,14
13,2001,14
13,2002,14
13,2003,14
13,2004,14
13,2005,15.5
13,2006,16
13,2007,16.3
13,2008,18.6
13,2009,18.8
13,2010,17
13,2011,18.5
13,2012,20.8
13,2013,20.9
13,2014,21.7
13,2015,22.3
13,2016,25.5
13,2017,26.7
14,2000,14.6
14,2001,14.6
14,2002,14.6
14,2003,14.6
14,2004,14.6
14,2005,15.9
14,2006,17.4
14,2007,17.9
14,2008,18.7
14,2009,18.8
14,2010,20.2
14,2011,21
14,2012,23.5
14,2013,22.7
14,2014,23.3
14,2015,24.6
14,2016,26.1
14,2017,27.1
15,2000,12.6
15,2001,12.6
15,2002,12.6
15,2003,12.6
15,2004,12.6
15,2005,14
15,2006,14.9
15,2007,15.9
15,2008,18.5
15,2009,20.1
15,2010,21.8
15,2011,24
15,2012,26.5
15,2013,28.2
15,2014,29.5
15,2015,29.9
15,2016,31.5
15,2017,33.7
61,2000,10.6
61,2001,10.6
61,2002,10.6
61,2003,10.6
61,2004,10.6
61,2005,11.1
61,2006,11.3
61,2007,12.4
61,2008,12.9
61,2009,14.2
61,2010,14.4
61,2011,14.6
61,2012,15.4
61,2013,15.9
61,2014,16.4
61,2015,18.5
61,2016,19.5
61,2017,18.9
62,2000,7.1
62,2001,7.1
62,2002,7.1
62,2003,7.1
62,2004,7.1
62,2005,9.6
62,2006,9
62,2007,11.3
62,2008,10.4
62,2009,10.9
62,2010,11.7
62,2011,12.2
62,2012,11.1
62,2013,13
62,2014,13.9
62,2015,14.7
62,2016,12.8
62,2017,13.9
63,2000,12.3
63,2001,12.3
63,2002,12.3
63,2003,12.3
63,2004,12.3
63,2005,12.3
63,2006,13.7
63,2007,15.5
63,2008,15.8
63,2009,18.2
63,2010,19.8
63,2011,20.1
63,2012,20.9
63,2013,21.7
63,2014,20.9
63,2015,23.8
63,2016,25.1
63,2017,25.7
81,2000,19.1
81,2001,19.1
81,2002,19.1
81,2003,19.1
81,2004,19.1
81,2005,19.7
81,2006,19.7
81,2007,21.9
81,2008,23
81,2009,25.6
81,2010,24.8
81,2011,27.3
81,2012,26.2
81,2013,28.8
81,2014,28.1
81,2015,26.8
81,2016,30.5
81,2017,32.8
82,2000,14.7
82,2001,14.7
82,2002,14.7
82,2003,14.7
82,2004,14.7
82,2005,15.7
82,2006,16.4
82,2007,18.2
82,2008,17.7
82,2009,17.6
82,2010,19.2
82,2011,21
82,2012,22.6
82,2013,22.8
82,2014,24.8
82,2015,25.1
82,2016,26.8
82,2017,27.4
83,2000,9.6
83,2001,9.6
83,2002,9.6
83,2003,9.6
83,2004,9.6
83,2005,10.7
83,2006,10.4
83,2007,12.7
83,2008,12.2
83,2009,12.3
83,2010,14.5
83,2011,16.4
83,2012,17.4
83,2013,16.9
83,2014,18.8
83,2015,22.9
83,2016,22.2
83,2017,21.7
2,2000,13.7
2,2001,13.7
2,2002,13.7
2,2003,13.7
2,2004,13.7
2,2005,14.3
2,2006,15.3
