geo,time,medelinkomst_20_64_ar_totalt
2,2007,251 441
2,2008,258 610
2,2009,265 879
2,2010,274 943
2,2011,284 318
2,2012,292 435
2,2013,297 849
2,2014,309 270
2,2015,317 119
2,2016,327 932
2,2017,338 420
5,2000,200 159
5,2001,210 260
5,2002,218 267
5,2003,224 756
5,2004,229 598
5,2005,237 802
5,2006,245 865
5,2007,256 138
5,2008,264 798
5,2009,269 829
5,2010,273 032
5,2011,280 494
5,2012,290 072
5,2013,298 167
5,2014,305 509
5,2015,315 572
5,2016,319 287
5,2017,336 307
7,2000,213 971
7,2001,224 623
7,2002,236 874
7,2003,243 840
7,2004,251 640
7,2005,262 833
7,2006,272 599
7,2007,286 731
7,2008,296 265
7,2009,300 025
7,2010,310 171
7,2011,318 862
7,2012,327 173
7,2013,337 105
7,2014,346 655
7,2015,352 125
7,2016,370 679
7,2017,383 310
