geo,time,boende_efter_bostadstyp_smahus
13,2014,1399
13,2015,1398
13,2016,1396
13,2017,1415
14,2000,1634
14,2001,1634
14,2002,1651
14,2003,1651
14,2004,1620
14,2005,1620
14,2006,1578
14,2007,1573
14,2008,1562
14,2009,1572
14,2010,1559
14,2011,1548
14,2012,1536
14,2013,1543
14,2014,1546
14,2015,1522
14,2016,1538
14,2017,1538
15,2000,2120
15,2001,2120
15,2002,2115
15,2003,2115
15,2004,2184
15,2005,2184
15,2006,2194
15,2007,2238
15,2008,2258
15,2009,2284
15,2010,2316
15,2011,2273
15,2012,2281
15,2013,2265
15,2014,2303
15,2015,2354
15,2016,2453
15,2017,2569
61,2000,2087
61,2001,2087
61,2002,2071
61,2003,2071
61,2004,2038
61,2005,2038
61,2006,1996
61,2007,1986
61,2008,2002
61,2009,1985
61,2010,1965
61,2011,1970
61,2012,1954
61,2013,1938
61,2014,1926
61,2015,1917
61,2016,1919
61,2017,1922
62,2000,975
62,2001,975
62,2002,954
62,2003,954
62,2004,957
62,2005,957
62,2006,943
62,2007,927
62,2008,915
62,2009,914
62,2010,903
62,2011,908
62,2012,907
62,2013,905
62,2014,905
62,2015,895
62,2016,919
62,2017,944
63,2000,1239
63,2001,1239
63,2002,1248
63,2003,1248
63,2004,1211
63,2005,1211
63,2006,1195
63,2007,1170
63,2008,1128
63,2009,1119
63,2010,1130
63,2011,1136
63,2012,1135
63,2013,1145
63,2014,1153
63,2015,1151
63,2016,1163
63,2017,1160
81,2000,477
81,2001,477
81,2002,468
81,2003,468
81,2004,460
81,2005,460
81,2006,451
81,2007,456
81,2008,466
81,2009,452
81,2010,459
81,2011,453
81,2012,476
81,2013,496
81,2014,495
81,2015,519
81,2016,542
81,2017,564
82,2000,1466
82,2001,1466
82,2002,484
82,2003,484
82,2004,1502
82,2005,1502
82,2006,1547
82,2007,1544
82,2008,1548
82,2009,1526
82,2010,1526
82,2011,1513
82,2012,1526
82,2013,1533
82,2014,1499
82,2015,1492
82,2016,1515
82,2017,1537
83,2000,327
83,2001,327
83,2002,322
83,2003,322
83,2004,311
83,2005,311
83,2006,310
83,2007,310
83,2008,312
83,2009,311
83,2010,314
83,2011,306
83,2012,304
83,2013,291
83,2014,279
83,2015,286
83,2016,283
83,2017,277
2,2000,1528
2,2001,1528
2,2002,1534
2,2003,1534
2,2004,1570
2,2005,1570
2,2006,1576
2,2007,1608
2,2008,1602
2,2009,1584
2,2010,1581
2,2011,1570
2,2012,1580
2,2013,1558
2,2014,1569
2,2015,1549
2,2016,1556
2,2017,1583
5,2000,4458
5,2001,4458
5,2002,4461
5,2003,4461
5,2004,4443
5,2005,4443
5,2006,4517
5,2007,4521
5,2008,4533
5,2009,4538
5,2010,4507
5,2011,4531
5,2012,4525
5,2013,4516
5,2014,4535
5,2015,4573
5,2016,4628
5,2017,4610
7,2000,3762
7,2001,3762
7,2002,3853
7,2003,3853
7,2004,4049
7,2005,4049
7,2006,4387
7,2007,4427
7,2008,4534
7,2009,4578
7,2010,4581
7,2011,4606
7,2012,4594
7,2013,4665
7,2014,4720
7,2015,4775
7,2016,4780
7,2017,4895
