geo,time,befolkning_alder_25_44_ar
8069,2012,36
8069,2013,38
8069,2014,43
8069,2015,39
8069,2016,42
8069,2017,45
8071,2000,82
8071,2001,80
8071,2002,79
8071,2003,83
8071,2004,92
8071,2005,90
8071,2006,87
8071,2007,91
8071,2008,88
8071,2009,88
8071,2010,86
8071,2011,86
8071,2012,96
8071,2013,98
8071,2014,102
8071,2015,110
8071,2016,107
8071,2017,105
8072,2000,56
8072,2001,60
8072,2002,52
8072,2003,51
8072,2004,49
8072,2005,48
8072,2006,44
8072,2007,47
8072,2008,43
8072,2009,45
8072,2010,45
8072,2011,41
8072,2012,45
8072,2013,45
8072,2014,48
8072,2015,56
8072,2016,49
8072,2017,51
8073,2000,246
8073,2001,235
8073,2002,242
8073,2003,238
8073,2004,237
8073,2005,230
8073,2006,229
8073,2007,236
8073,2008,226
8073,2009,232
8073,2010,234
8073,2011,236
8073,2012,231
8073,2013,243
8073,2014,232
8073,2015,234
8073,2016,238
8073,2017,246
8074,2000,97
8074,2001,96
8074,2002,97
8074,2003,91
8074,2004,97
8074,2005,110
8074,2006,114
8074,2007,121
8074,2008,116
8074,2009,113
8074,2010,116
8074,2011,118
8074,2012,115
8074,2013,113
8074,2014,98
8074,2015,103
8074,2016,98
8074,2017,96
8075,2000,92
8075,2001,90
8075,2002,90
8075,2003,96
8075,2004,91
8075,2005,87
8075,2006,83
8075,2007,85
8075,2008,86
8075,2009,85
8075,2010,83
8075,2011,84
8075,2012,81
8075,2013,78
8075,2014,85
8075,2015,87
8075,2016,81
8075,2017,79
8076,2000,85
8076,2001,87
8076,2002,87
8076,2003,80
8076,2004,79
8076,2005,81
8076,2006,77
8076,2007,72
8076,2008,72
8076,2009,80
8076,2010,74
8076,2011,72
8076,2012,70
8076,2013,69
8076,2014,65
8076,2015,67
8076,2016,64
8076,2017,60
808,2000,53
808,2001,53
808,2002,49
808,2003,51
808,2004,55
808,2005,51
808,2006,46
808,2007,47
808,2008,49
808,2009,50
808,2010,51
808,2011,57
808,2012,54
808,2013,52
808,2014,51
808,2015,44
808,2016,45
808,2017,44
11,2000,378
11,2001,376
11,2002,372
11,2003,375
11,2004,367
11,2005,361
11,2006,341
11,2007,332
11,2008,331
11,2009,317
11,2010,321
11,2011,315
11,2012,291
